Taxon	L21L03	G19L03	G04L03	L10L03	L11L03	i06L02	D16L02	H11L03	L17L02	E06L02	M09L03	K16L02	M16L03	F12L03	M19L03	M24L02	G06L03	H07L02	M17L03	J17L03	i19L02	H08L02	G11L02	J03L02	L09L03	M05L03	K07L02	i21L03	E01L02	M22L02	F15L03	N05L02	D04L02	N11L02	M04L02	K15L03	M01L03	D14L02	L04L03	L01L02	i18L02	K03L03	L06L02	K02L03	C2L02	i02L02	L03L02	N23L03	J14L02	K05L03	H09L03	N08L02	G01L03	N17L03	L16L02	E10L03	N03L02	E17L03	D15L02	L08L02	M03L03	G18L02	E03L03	N18L02	D20L02	N04L03	N01L02	L05L02	J05L02	N21L02	M23L03	i07L02	M27L02	J16L03	D02L02	M02L02	N13L03	J12L02	H12L02	M13L02	E07L03	E16L02	G09L02	i17L03	E19L03	D17L03	i01L02	D06L02	G10L03	F01L02	E18L03	E20L03	J11L02	C2L03L03	N14L03	N09L02	G14L03	J02L02	D11L03	N20L03	i14L02	G13L02	K14L03	K09L03	M15L02	J07L02	F04L02	i04L03	F06L02	L12L03	C1L03L03	G15L03	i12L02	G03L02	M06L02	J01L02	M14L02	N02L02	N06L03	J10L03	D03L02	J04L03	E11L02	G08L03	i15L03	L18L02	E02L02	G12L03	K19L03	i10L03	H03L02	K4bL03	M08L03	N24L03	D08L03	F10L03	G02L02	L14L03	J13L03	N19L03	E12L03	i20L02	M20L03	J09L03	i09L03	F03L03	G05L02	N07L03	J06L03	K08L02	i13L02	K10L02	L15L02	M10L02	H05L03	N10L02	H10L03	M26L03	H06L03	i05L02	N16L02	D18L03	E04L03	F08L03	i16L03	F09L03	H01L02	H02L02	M12bL03	E23L02	K06L03	M21L03	i11L03	G07L02	D05L03	F05L02	N15L03	C1L02	H04L03	L13L02	L19L02	H14L02	K11L02	N12L02	J08L02	E05L02	D09L03	E21L03
Bistorta_vivipara|JF922101|SH0029636.10FU|reps_singleton|k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Caryophyllales;f__Polygonaceae;g__Bistorta;s__Bistorta_vivipara	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	26	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Rhodoscirpus_asper|MF669200|SH0029911.10FU|reps_singleton|k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Cyperaceae;g__Rhodoscirpus;s__Rhodoscirpus_asper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syntrichia_norvegica|OM807163|SH0032847.10FU|reps_singleton|k__Viridiplantae;p__Bryophyta;c__Bryopsida;o__Pottiales;f__Pottiaceae;g__Syntrichia;s__Syntrichia_norvegica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syntrichia_sp|UDB07667060|SH0032848.10FU|reps_singleton|k__Viridiplantae;p__Bryophyta;c__Bryopsida;o__Pottiales;f__Pottiaceae;g__Syntrichia;s__Syntrichia_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetonotus_sp|UDB01748278|SH0034230.10FU|reps_singleton|k__Metazoa;p__Gastrotricha;c__Chaetonotida;o__Chaetonotida_ord_Incertae_sedis;f__Chaetonotidae;g__Chaetonotus;s__Chaetonotus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Citrus_reticulata|JN661212|SH0048324.10FU|reps_singleton|k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Sapindales;f__Rutaceae;g__Citrus;s__Citrus_reticulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota_sp|UDB0586119|SH0049958.10FU|reps_singleton|k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simulium_vittatum|U48383|SH0057406.10FU|reps_singleton|k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Simuliidae;g__Simulium;s__Simulium_vittatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota_sp|UDB05663089|SH0058333.10FU|reps_singleton|k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calamagrostis_canadensis|FJ377628|SH0067228.10FU|reps_singleton|k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Calamagrostis;s__Calamagrostis_canadensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
